unnamed:_0,year_label,export_value,year,export_value_eur_million,category
Fruit & Vegetables,cy_2015_tonnes,76439234.0,2015,76439234.0,Fruit & Vegetables
Fruit & Vegetables Based Products,cy_2015_value,111853374.0,2015,111853374.0,Fruit & Vegetables Based Products
Fruit & Vegetables Based Products,cy_2015_tonnes,75548442.0,2015,75548442.0,Fruit & Vegetables Based Products
Grand Total,cy_2015_value,12264287859.0,2015,12264287859.0,Grand Total
Grand Total,cy_2015_tonnes,6081355820.0,2015,6081355820.0,Grand Total
Live Animals,cy_2015_value,430507794.0,2015,430507794.0,Live Animals
Live Animals,cy_2015_tonnes,78885410.0,2015,78885410.0,Live Animals
Miscellaneous Edible Products & Preparations,cy_2015_value,275190254.0,2015,275190254.0,Miscellaneous Edible Products & Preparations
Miscellaneous Edible Products & Preparations,cy_2015_tonnes,96954336.0,2015,96954336.0,Miscellaneous Edible Products & Preparations
"Oils, Fats & Oleaginous Fruits",cy_2015_value,63887436.0,2015,63887436.0,"Oils, Fats & Oleaginous Fruits"
"Oils, Fats & Oleaginous Fruits",cy_2015_tonnes,106309514.0,2015,106309514.0,"Oils, Fats & Oleaginous Fruits"
Other Meat & Meat Produce,cy_2015_value,56160495.0,2015,56160495.0,Other Meat & Meat Produce
Other Meat & Meat Produce,cy_2015_tonnes,71220865.0,2015,71220865.0,Other Meat & Meat Produce
Pigmeat,cy_2015_value,669770563.0,2015,669770563.0,Pigmeat
Pigmeat,cy_2015_tonnes,242173726.0,2015,242173726.0,Pigmeat
Poultry,cy_2015_value,323217566.0,2015,323217566.0,Poultry
Poultry,cy_2015_tonnes,124726422.0,2015,124726422.0,Poultry
Sheepmeat,cy_2015_value,241892626.0,2015,241892626.0,Sheepmeat
Sheepmeat,cy_2015_tonnes,48017463.0,2015,48017463.0,Sheepmeat
"Sugar, Sugar Preparation & Honey",cy_2015_value,158681219.0,2015,158681219.0,"Sugar, Sugar Preparation & Honey"
"Sugar, Sugar Preparation & Honey",cy_2015_tonnes,37071668.0,2015,37071668.0,"Sugar, Sugar Preparation & Honey"
"Wool, Flax & Cotton",cy_2015_value,16277689.0,2015,16277689.0,"Wool, Flax & Cotton"
"Wool, Flax & Cotton",cy_2015_tonnes,8274078.0,2015,8274078.0,"Wool, Flax & Cotton"
,cy_2015_value,,2015,,nan
,cy_2015_value,,2015,,nan
,cy_2015_tonnes,,2015,,nan
,cy_2015_tonnes,,2015,,nan
Animal Feed,cy_2016_value,321174450.0,2016,321174450.0,Animal Feed
Animal Feed,cy_2016_tonnes,727520311.0,2016,727520311.0,Animal Feed
Animal Skins & Furs,cy_2016_value,129962794.0,2016,129962794.0,Animal Skins & Furs
Animal Skins & Furs,cy_2016_tonnes,85624985.0,2016,85624985.0,Animal Skins & Furs
Beef,cy_2016_value,2267543517.0,2016,2267543517.0,Beef
Beef,cy_2016_tonnes,532611775.0,2016,532611775.0,Beef
Beverages,cy_2016_value,1304502816.0,2016,1304502816.0,Beverages
Beverages,cy_2016_tonnes,839219700.0,2016,839219700.0,Beverages
Cereal & cereal preparation,cy_2016_value,354637449.0,2016,354637449.0,Cereal & cereal preparation
Cereal & cereal preparation,cy_2016_tonnes,244023749.0,2016,244023749.0,Cereal & cereal preparation
"Coffee, Tea, Cocoa & Spices",cy_2016_value,374151238.0,2016,374151238.0,"Coffee, Tea, Cocoa & Spices"
"Coffee, Tea, Cocoa & Spices",cy_2016_tonnes,62175798.0,2016,62175798.0,"Coffee, Tea, Cocoa & Spices"
Crude Animal & Vegetable Material,cy_2016_value,124324194.0,2016,124324194.0,Crude Animal & Vegetable Material
Crude Animal & Vegetable Material,cy_2016_tonnes,88938521.0,2016,88938521.0,Crude Animal & Vegetable Material
Dairy Produce,cy_2016_value,4044990083.0,2016,4044990083.0,Dairy Produce
Dairy Produce,cy_2016_tonnes,1223420276.0,2016,1223420276.0,Dairy Produce
Egg,cy_2016_value,14065692.0,2016,14065692.0,Egg
Egg,cy_2016_tonnes,6585063.0,2016,6585063.0,Egg
Fish,cy_2016_value,554912615.0,2016,554912615.0,Fish
